"Isolation","Trait","Observed_PN","Percent_PN"
"Tree","Inulin",169,0.316
"Tree","Sucrose",76,0.713
"Tree","Raffinose",137,0.503
"Tree","Melibiose",175,0.636
"Tree","Galactose",98,0.998
"Tree","Lactose",173,0.587
"Tree","Trehalose",48,0.397
"Tree","Maltose",90,0.797
"Tree","Melezitose",109,0.721
"Tree","Methyl-?-D-glucoside",109,0.794
"Tree","Soluble Starch",139,0.113
"Tree","Cellobiose",52,0.131
"Tree","Salicin",55,0.137
"Tree","L-Sorbose",99,0.809
"Tree","L-Rhamnose",140,0.133
"Tree","D-Xylose",39,0.101
"Tree","L-Arabinose",119,0.3
"Tree","D-Arabinose",115,0.056
"Tree","D-Ribose",104,0.289
"Tree","Methanol",169,0.059
"Tree","Ethanol",22,0.271
"Tree","Glycerol",21,0.629
"Tree","Erythritol",135,0.243
"Tree","Ribitol",72,0.501
"Tree","Galactitol",182,0.813
"Tree","D-Mannitol",22,0.152
"Tree","D-Glucitol",28,0.271
"Tree","myo-Inositol",175,0.275
"Tree","DL-Lactate",106,0.676
"Tree","Succinate",21,0.233
"Tree","Citrate",74,0.701
"Tree","D-Gluconate",96,0.872
"Tree","D-Glucosamine",120,0.555
"Tree","Nitrate",136,0.005
"Tree","Vitamin-free",143,0.073
"Tree","2-Keto-D-gluconate",123,0.918
"Tree","Starch formation",162,0.123
"Tree","Growth at 19°C",2,0.854
"Tree","Growth at 25°C",2,0.795
"Tree","Growth at 30°C",43,0.992
"Tree","Growth at 37°C",124,0.894
"Stone.Chamber","Glucose_F",0,0.924
"Stone.Chamber","Galactose_F",0,0.809
"Stone.Chamber","Sucrose_F",2,1
"Stone.Chamber","Maltose_F",2,1
"Stone.Chamber","Lactose_F",2,1
"Stone.Chamber","Raffinose_F",2,1
"Stone.Chamber","Trehalose_F",1,0.887
"Stone.Chamber","Glucose",0,1
"Stone.Chamber","Inulin",1,0.852
"Stone.Chamber","Sucrose",0,0.922
"Stone.Chamber","Raffinose",2,1
"Stone.Chamber","Melibiose",2,1
"Stone.Chamber","Galactose",0,0.92
"Stone.Chamber","Lactose",1,0.879
"Stone.Chamber","Trehalose",0,0.952
"Stone.Chamber","Maltose",0,0.91
