"Isolation","Trait","Observed_NP","Percent_NP"
"Tree","Galactose_F",207,0.941
"Tree","Sucrose_F",171,0.947
"Tree","Maltose_F",133,0.917
"Tree","Lactose_F",26,0.949
"Tree","Raffinose_F",108,0.91
"Tree","Trehalose_F",204,0.838
"Tree","Glucose",631,1
"Tree","Inulin",77,0.316
"Tree","Sucrose",379,0.713
"Tree","Raffinose",174,0.503
"Tree","Melibiose",78,0.636
"Tree","Galactose",439,0.998
"Tree","Lactose",73,0.587
"Tree","Trehalose",426,0.397
"Tree","Maltose",358,0.797
"Tree","Melezitose",292,0.721
"Tree","Methyl-?-D-glucoside",297,0.794
"Tree","Soluble Starch",135,0.113
"Tree","Cellobiose",376,0.131
"Tree","Salicin",372,0.137
"Tree","L-Sorbose",336,0.809
"Tree","L-Rhamnose",121,0.133
"Tree","D-Xylose",417,0.101
"Tree","L-Arabinose",207,0.3
"Tree","D-Arabinose",162,0.056
"Tree","D-Ribose",242,0.289
"Tree","Methanol",36,0.059
"Tree","Ethanol",522,0.271
"Tree","Glycerol",558,0.629
"Tree","Erythritol",155,0.243
"Tree","Ribitol",373,0.501
"Tree","Galactitol",82,0.813
"Tree","D-Mannitol",494,0.152
"Tree","D-Glucitol",487,0.271
"Tree","myo-Inositol",50,0.275
"Tree","DL-Lactate",287,0.676
"Tree","Succinate",513,0.233
"Tree","Citrate",387,0.701
"Tree","D-Gluconate",355,0.872
"Tree","D-Glucosamine",234,0.555
"Tree","Nitrate",80,0.005
"Tree","Vitamin-free",104,0.073
"Tree","2-Keto-D-gluconate",290,0.918
"Tree","Starch formation",69,0.123
"Tree","Growth at 19°C",622,0.854
"Tree","Growth at 25°C",624,0.795
"Tree","Growth at 30°C",575,0.992
"Tree","Growth at 37°C",269,0.894
"Stone.Chamber","Glucose_F",605,0.924
"Stone.Chamber","Galactose_F",257,0.809
"Stone.Chamber","Sucrose_F",209,1
"Stone.Chamber","Maltose_F",165,1
"Stone.Chamber","Lactose_F",29,1
"Stone.Chamber","Raffinose_F",132,1
"Stone.Chamber","Trehalose_F",260,0.887
"Stone.Chamber","Glucose",829,1
"Stone.Chamber","Inulin",107,0.852
"Stone.Chamber","Sucrose",501,0.922
"Stone.Chamber","Raffinose",237,1
"Stone.Chamber","Melibiose",103,1
"Stone.Chamber","Galactose",539,0.92
"Stone.Chamber","Lactose",99,0.879
"Stone.Chamber","Trehalose",576,0.952
"Stone.Chamber","Maltose",466,0.91
"Stone.Chamber","Melezitose",382,0.956
"Stone.Chamber","Methyl-?-D-glucoside",387,0.957
"Stone.Chamber","Soluble Starch",196,1
"Stone.Chamber","Cellobiose",522,0.928
"Stone.Chamber","Salicin",515,0.938
"Stone.Chamber","L-Sorbose",435,0.879
"Stone.Chamber","L-Rhamnose",180,0.866
"Stone.Chamber","D-Xylose",576,0.945
"Stone.Chamber","L-Arabinose",286,0.832
"Stone.Chamber","D-Arabinose",245,0.812
"Stone.Chamber","D-Ribose",336,0.845
