"Isolation","Trait","Observed_PP","Percent_PP"
"Stone.Chamber","Nitrate",146,1
"Stone.Chamber","Vitamin-free",163,1
"Stone.Chamber","2-Keto-D-gluconate",365,0.864
"Stone.Chamber","Starch formation",109,1
"Stone.Chamber","Growth at 19°C",818,1
"Stone.Chamber","Growth at 25°C",820,0.994
"Stone.Chamber","Growth at 30°C",730,0.98
"Stone.Chamber","Growth at 37°C",345,0.944
"Lichen","Glucose_F",608,0.955
"Lichen","Galactose_F",262,0.922
"Lichen","Sucrose_F",214,1
"Lichen","Maltose_F",170,1
"Lichen","Lactose_F",34,1
"Lichen","Raffinose_F",137,1
"Lichen","Trehalose_F",264,0.909
"Lichen","Glucose",826,1
"Lichen","Inulin",113,1
"Lichen","Sucrose",504,0.951
"Lichen","Raffinose",242,1
"Lichen","Melibiose",106,0.781
"Lichen","Galactose",538,0.755
"Lichen","Lactose",101,0.614
"Lichen","Trehalose",575,0.85
"Lichen","Maltose",467,0.826
"Lichen","Melezitose",382,0.753
"Lichen","Methyl-?-D-glucoside",387,0.774
"Lichen","Soluble Starch",197,0.787
"Lichen","Cellobiose",523,0.853
"Lichen","Salicin",518,0.949
"Lichen","L-Sorbose",434,0.633
"Lichen","L-Rhamnose",180,0.567
"Lichen","D-Xylose",575,0.815
"Lichen","L-Arabinose",285,0.553
"Lichen","D-Arabinose",246,0.602
"Lichen","D-Ribose",337,0.64
"Lichen","Methanol",70,0.812
"Lichen","Ethanol",695,0.826
"Lichen","Glycerol",732,0.88
"Lichen","Erythritol",221,0.655
"Lichen","Ribitol",496,0.588
"Lichen","Galactitol",99,0.405
"Lichen","D-Mannitol",669,0.913
"Lichen","D-Glucitol",654,0.823
"Lichen","myo-Inositol",80,1
"Lichen","DL-Lactate",386,1
"Lichen","Succinate",687,0.826
"Lichen","Citrate",512,0.84
"Lichen","D-Gluconate",456,0.697
"Lichen","D-Glucosamine",315,0.859
"Lichen","Nitrate",147,0.863
"Lichen","Vitamin-free",166,1
"Lichen","2-Keto-D-gluconate",364,0.588
"Lichen","Starch formation",110,0.731
"Lichen","Growth at 19°C",815,0.983
"Lichen","Growth at 25°C",817,0.989
"Lichen","Growth at 30°C",727,0.86
"Lichen","Growth at 37°C",348,0.939
"Pollen","Glucose_F",600,0.531
"Pollen","Galactose_F",262,0.777
"Pollen","Sucrose_F",208,0.41
"Pollen","Maltose_F",162,0.264
"Pollen","Lactose_F",32,0.328
"Pollen","Raffinose_F",129,0.253
"Pollen","Trehalose_F",260,0.486
"Pollen","Glucose",824,1
