sp1,sp2,sp1_inc,sp2_inc,obs_cooccur,prob_cooccur,exp_cooccur,p_lt,p_gt,sp1_name,sp2_name,Association
4,82,17,144,2,0.004,2.9,0.41278,0.82331,Spoiled,Nitrate,Random
4,83,17,161,1,0.004,3.3,0.12808,0.9753,Spoiled,Vitamin-free,Random
4,84,17,367,5,0.009,7.5,0.16105,0.93384,Spoiled,2-Keto-D-gluconate,Random
4,85,17,107,0,0.003,2.2,0.09369,1,Spoiled,Starch formation,Random
4,86,17,820,17,0.02,16.8,1,0.79552,Spoiled,Growth at 19°C,Random
4,87,17,822,17,0.02,16.8,1,0.8295,Spoiled,Growth at 25°C,Random
4,88,17,732,15,0.018,15,0.62083,0.67004,Spoiled,Growth at 30°C,Random
4,89,17,345,12,0.008,7.1,0.99656,0.01401,Spoiled,Growth at 37°C,Positive
5,41,29,607,19,0.025,21.2,0.23229,0.87214,Plant.Pathogen,Glucose_F,Random
5,42,29,259,12,0.011,9,0.91847,0.1574,Plant.Pathogen,Galactose_F,Random
5,43,29,209,8,0.009,7.3,0.70856,0.45085,Plant.Pathogen,Sucrose_F,Random
5,44,29,165,6,0.007,5.8,0.65171,0.53066,Plant.Pathogen,Maltose_F,Random
5,45,29,29,1,0.001,1,0.73148,0.64943,Plant.Pathogen,Lactose_F,Random
5,46,29,132,7,0.006,4.6,0.92624,0.16223,Plant.Pathogen,Raffinose_F,Random
5,47,29,261,8,0.011,9.1,0.41121,0.7389,Plant.Pathogen,Trehalose_F,Random
5,48,29,831,29,0.035,29,1,1,Plant.Pathogen,Glucose,Random
5,49,29,108,9,0.005,3.8,0.99786,0.00798,Plant.Pathogen,Inulin,Positive
5,50,29,503,20,0.021,17.6,0.87377,0.22781,Plant.Pathogen,Sucrose,Random
5,51,29,237,14,0.01,8.3,0.99381,0.0172,Plant.Pathogen,Raffinose,Positive
5,52,29,103,1,0.004,3.6,0.10573,0.97993,Plant.Pathogen,Melibiose,Random
5,53,29,541,15,0.023,18.9,0.09186,0.95643,Plant.Pathogen,Galactose,Random
5,54,29,100,1,0.004,3.5,0.11618,0.97733,Plant.Pathogen,Lactose,Random
5,55,29,578,20,0.024,20.2,0.54371,0.61721,Plant.Pathogen,Trehalose,Random
5,56,29,468,17,0.02,16.3,0.66928,0.47758,Plant.Pathogen,Maltose,Random
5,57,29,383,13,0.016,13.4,0.52209,0.62677,Plant.Pathogen,Melezitose,Random
5,58,29,388,14,0.016,13.5,0.64287,0.5045,Plant.Pathogen,Methyl-?-D-glucoside,Random
5,59,29,196,8,0.008,6.8,0.77505,0.37189,Plant.Pathogen,Soluble Starch,Random
5,60,29,524,19,0.022,18.3,0.67781,0.47314,Plant.Pathogen,Cellobiose,Random
5,61,29,517,17,0.022,18,0.41096,0.72898,Plant.Pathogen,Salicin,Random
5,62,29,437,18,0.018,15.3,0.89128,0.19766,Plant.Pathogen,L-Sorbose,Random
5,63,29,181,1,0.008,6.3,0.00661,0.9993,Plant.Pathogen,L-Rhamnose,Negative
5,64,29,578,19,0.024,20.2,0.38279,0.75769,Plant.Pathogen,D-Xylose,Random
5,65,29,288,7,0.012,10.1,0.15531,0.92444,Plant.Pathogen,L-Arabinose,Random
5,66,29,247,7,0.01,8.6,0.32966,0.80786,Plant.Pathogen,D-Arabinose,Random
5,67,29,338,5,0.014,11.8,0.00582,0.99849,Plant.Pathogen,D-Ribose,Negative
5,68,29,67,0,0.003,2.3,0.0836,1,Plant.Pathogen,Methanol,Random
5,69,29,700,20,0.029,24.4,0.0276,0.99074,Plant.Pathogen,Ethanol,Negative
5,70,29,737,24,0.031,25.7,0.2227,0.90157,Plant.Pathogen,Glycerol,Random
5,71,29,220,2,0.009,7.7,0.00775,0.99867,Plant.Pathogen,Erythritol,Negative
5,72,29,501,15,0.021,17.5,0.22044,0.8749,Plant.Pathogen,Ribitol,Random
5,73,29,100,3,0.004,3.5,0.5306,0.69972,Plant.Pathogen,Galactitol,Random
5,74,29,672,21,0.028,23.5,0.17222,0.91691,Plant.Pathogen,D-Mannitol,Random
5,75,29,659,20,0.028,23,0.12394,0.94296,Plant.Pathogen,D-Glucitol,Random
5,76,29,75,0,0.003,2.6,0.06125,1,Plant.Pathogen,myo-Inositol,Random
5,77,29,381,16,0.016,13.3,0.88774,0.20134,Plant.Pathogen,DL-Lactate,Random
5,78,29,692,24,0.029,24.1,0.54952,0.64623,Plant.Pathogen,Succinate,Random
5,79,29,513,15,0.022,17.9,0.17462,0.90588,Plant.Pathogen,Citrate,Random
5,80,29,459,12,0.019,16,0.0909,0.95676,Plant.Pathogen,D-Gluconate,Random
5,81,29,314,5,0.013,11,0.01347,0.99608,Plant.Pathogen,D-Glucosamine,Negative
5,82,29,144,6,0.006,5,0.77641,0.38786,Plant.Pathogen,Nitrate,Random
5,83,29,161,3,0.007,5.6,0.15459,0.94221,Plant.Pathogen,Vitamin-free,Random
5,84,29,367,11,0.015,12.8,0.31161,0.80949,Plant.Pathogen,2-Keto-D-gluconate,Random
5,85,29,107,6,0.004,3.7,0.93282,0.15794,Plant.Pathogen,Starch formation,Random
5,86,29,820,29,0.034,28.6,1,0.67493,Plant.Pathogen,Growth at 19°C,Random
5,87,29,822,26,0.035,28.7,0.00279,0.99987,Plant.Pathogen,Growth at 25°C,Negative
5,88,29,732,21,0.031,25.5,0.01552,0.99562,Plant.Pathogen,Growth at 30°C,Negative
5,89,29,345,11,0.014,12,0.42206,0.71997,Plant.Pathogen,Growth at 37°C,Random
6,41,104,607,78,0.091,76,0.72224,0.36311,Animal,Glucose_F,Random
6,42,104,259,33,0.039,32.4,0.60091,0.48797,Animal,Galactose_F,Random
6,43,104,209,35,0.031,26.2,0.98635,0.02399,Animal,Sucrose_F,Positive
6,44,104,165,23,0.025,20.6,0.77568,0.30815,Animal,Maltose_F,Random
6,45,104,29,1,0.004,3.6,0.10243,0.98073,Animal,Lactose_F,Random
6,46,104,132,25,0.02,16.5,0.99319,0.0137,Animal,Raffinose_F,Positive
6,47,104,261,32,0.039,32.7,0.48942,0.59985,Animal,Trehalose_F,Random
6,48,104,831,104,0.125,104,1,1,Animal,Glucose,Random
6,49,104,108,13,0.016,13.5,0.50961,0.6141,Animal,Inulin,Random
6,50,104,503,59,0.076,63,0.2289,0.83024,Animal,Sucrose,Random
6,51,104,237,37,0.036,29.7,0.96374,0.058,Animal,Raffinose,Random
6,52,104,103,15,0.016,12.9,0.79953,0.29673,Animal,Melibiose,Random
6,53,104,541,68,0.081,67.7,0.56605,0.52141,Animal,Galactose,Random
6,54,104,100,16,0.015,12.5,0.89767,0.1672,Animal,Lactose,Random
6,55,104,578,70,0.087,72.3,0.33452,0.74299,Animal,Trehalose,Random
6,56,104,468,58,0.07,58.6,0.49273,0.59068,Animal,Maltose,Random
6,57,104,383,52,0.058,47.9,0.83166,0.22633,Animal,Melezitose,Random
6,58,104,388,52,0.058,48.6,0.79635,0.26796,Animal,Methyl-?-D-glucoside,Random
6,59,104,196,34,0.03,24.5,0.9917,0.01528,Animal,Soluble Starch,Positive
6,60,104,524,62,0.079,65.6,0.25064,0.81258,Animal,Cellobiose,Random
6,61,104,517,63,0.078,64.7,0.39509,0.68481,Animal,Salicin,Random
6,62,104,437,54,0.066,54.7,0.4835,0.59914,Animal,L-Sorbose,Random
6,63,104,181,33,0.027,22.7,0.99611,0.00765,Animal,L-Rhamnose,Positive
6,64,104,578,74,0.087,72.3,0.68581,0.39961,Animal,D-Xylose,Random
6,65,104,288,46,0.043,36,0.98854,0.01967,Animal,L-Arabinose,Positive
6,66,104,247,32,0.037,30.9,0.64584,0.44188,Animal,D-Arabinose,Random
6,67,104,338,47,0.051,42.3,0.86621,0.18484,Animal,D-Ribose,Random
6,68,104,67,7,0.01,8.4,0.38077,0.75983,Animal,Methanol,Random
6,69,104,700,92,0.105,87.6,0.92476,0.12955,Animal,Ethanol,Random
6,70,104,737,92,0.111,92.2,0.52196,0.60778,Animal,Glycerol,Random
6,71,104,220,35,0.033,27.5,0.96875,0.05105,Animal,Erythritol,Random
6,72,104,501,66,0.075,62.7,0.79162,0.27557,Animal,Ribitol,Random
6,73,104,100,19,0.015,12.5,0.98436,0.03129,Animal,Galactitol,Positive
6,74,104,672,79,0.101,84.1,0.11166,0.92942,Animal,D-Mannitol,Random
6,75,104,659,82,0.099,82.5,0.49505,0.6063,Animal,D-Glucitol,Random
6,76,104,75,10,0.011,9.4,0.66945,0.46834,Animal,myo-Inositol,Random
6,77,104,381,56,0.057,47.7,0.96804,0.05021,Animal,DL-Lactate,Random
6,78,104,692,92,0.104,86.6,0.95605,0.08067,Animal,Succinate,Random
6,79,104,513,73,0.077,64.2,0.97881,0.03538,Animal,Citrate,Positive
6,80,104,459,71,0.069,57.4,0.99865,0.00269,Animal,D-Gluconate,Positive
6,81,104,314,44,0.047,39.3,0.86939,0.18145,Animal,D-Glucosamine,Random
6,82,104,144,16,0.022,18,0.34376,0.75377,Animal,Nitrate,Random
6,83,104,161,21,0.024,20.1,0.64646,0.45493,Animal,Vitamin-free,Random
6,84,104,367,53,0.055,45.9,0.94463,0.08303,Animal,2-Keto-D-gluconate,Random
6,85,104,107,7,0.016,13.4,0.02646,0.98936,Animal,Starch formation,Negative
